,0
0,N
1,Y
2,Y
3,Y
4,N
5,Y
6,Y
7,Y
8,N
9,N
10,Y
11,N
12,Y
13,Y
14,N
15,Y
16,Y
17,Y
18,N
19,Y
20,N
21,Y
22,Y
23,Y
24,N
25,N
26,Y
27,Y
28,Y
29,Y
30,Y
31,Y
32,Y
33,Y
34,Y
35,Y
36,Y
37,Y
38,Y
39,Y
40,Y
41,Y
42,Y
43,Y
44,Y
45,Y
46,N
47,Y
48,Y
49,Y
50,N
51,Y
52,N
53,Y
54,Y
55,Y
56,Y
57,Y
58,Y
59,Y
60,Y
61,Y
62,Y
63,Y
64,Y
65,Y
66,N
67,Y
68,Y
69,Y
70,Y
71,Y
72,Y
73,Y
74,Y
75,Y
76,Y
77,Y
78,Y
79,Y
80,Y
81,Y
82,Y
83,Y
84,Y
85,N
86,Y
87,N
88,Y
89,Y
90,Y
91,Y
92,Y
93,Y
94,Y
95,Y
96,Y
97,Y
98,Y
99,Y
100,N
101,Y
102,Y
103,N
104,N
105,Y
106,Y
107,Y
108,Y
109,Y
110,Y
111,Y
112,Y
113,N
114,Y
115,N
116,N
117,Y
118,Y
119,Y
120,Y
121,Y
122,Y
